Contract,,,,,,,,,,,,,,,,,,,,,,,,
Contract Name,Contract No.,Contract Status,Contract Type,Vendor(Vendor)_Vendor ID,Contract Document Code,Phase,City,Department ID,Contract Total Amount,Approved Job Orders Total,Not-Yet Approved Job Orders Total,Available Amount,NTP Date Construction/Sign Date Design,Award Date (Construction) / Sign Date (Design),Contract Duration,Revised Timeline,State_State,Contract(Master Contract)_Contract No.,Project Names,Type of Service,Project Delivery Method,Encumbrance/Not to Exceed (MA),Award Date,Award Date_Award Date
CP0630ISVI SEWRP Influent Structure Ventilation Imp - Garney Construction Job Order,DO-F165-20002729,Approved,Job Order,CNV390275,DO,104 - Construction,Kansas City,F165,24653.22,0,0,24653.22,10/16/2019 00:00:00,10/15/2019 00:00:00,45,46,MO,MA-F165-18000007R2,"SEWRP Influent Structure Ventilation Improvements, SEWRP Influent Structure Ventilation Improvements - FUNDING ONLY",Construction,Job Order Contracting (JOC),0,,
C01645 CAP RAW Water Pipeline,CT-F165-17000109,Closed,CMAR Construction Services Contract,CNV390275,CT,104 - Construction,Kansas City,F165,8355587.43,0,0,8355587.43,02/02/2017 00:00:00,01/31/2017 00:00:00,365,366,MO,,"CAP Raw Water Pipeline and Elliot Road Improvements, Waterline from CAP to Signal Butte Water Treatment Plant",Construction,Construction Manager at Risk (CMAR),0,,
C09036EXT East & West WWII Hangar Window & Exterior Painting Upgrades CORE,DO-F165-17010495,Closed,Job Order,VS0000002305,DO,104 - Construction,Phoenix,F165,536025,0,0,536025,,07/12/2017 00:00:00,90,0,AZ,MA-F165-16000372R1,Airport Hangar exterior painting and windows - Funding Only,Construction,Job Order Contracting (JOC),536025,,
CP0978 Val Vista Drainage Improvements - Talis Job Order,DO-F165-22010428,Estimate,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,396347.48,0,0,396347.48,,06/20/2022 00:00:00,0,0,AZ,MA-F165-19003239R2,"Val Vista at the Eastern Canal Drainage Improvements, Val Vista at the Eastern Canal Drainage Improvements - FUNDING ONLY, Val Vista at the Eastern Canal Drainage Improvements (Grant) - FUNDING ONLY",Construction,Job Order Contracting (JOC),396347.48,,
JOC-L15 Job Order Master Agreement Earthscapes,MA-F165-16000388,Approved,Job Order Master,VS0000008720,MA,104 - Construction,Phoenix,F165,5000000,453417.47,251891.1,4294691.43,04/28/2016 00:00:00,04/28/2016 00:00:00,364,365,AZ,,,Construction,Job Order Contracting (JOC),0,,
CP0091 H60 COMMUNICATION TOWER Jensen Engineering/Project Order,DO -F165-22003975,Approved,Project Order,CNV385395,PO,102 - Design,Cave Creek,F165,7920,0,0,7920,12/02/2021 00:00:00,12/02/2021 00:00:00,365,366,AZ,MA-F165-21000144,"H60 Radio Facility, H60 Radio Facility - FUNDING ONLY",Professional Service,NA,0,,
CP0902 East Mesa Service Center Tenant Improvements SDB Job Order,DO-F165-19008903,Approved,Job Order,CNV673366,DO,104 - Construction,Tempe,F165,230481,0,0,230481,05/02/2019 00:00:00,04/17/2019 00:00:00,120,134,AZ,MA-F165-16000371R2,"EMSC Utilities Building Tenant Improvements, EMSC Utilities Building Tenant Improvements GAS - Funding Only, EMSC Utilities Building Tenant Improvements WTR - Funding Only, EMSC Utilities Building Tenant Improvements WW - Funding Only",Construction,Job Order Contracting (JOC),229063,,
LF0313 Emergency 54-Inch Reclaimed Water Line Repair - B&F Contracting,DO-F165-18010325,Approved,Job Order,CNV668524,DO,104 - Construction,Phoenix,F165,417423.49,0,0,417423.49,,06/27/2018 00:00:00,180,0,AZ,MA-F165-16000376R2,"Repair of 54"" Reclaimed Pipeline at Greenfield WRP, Repair of 54"" Reclaimed pipeline at Greenfield WRP-Funding only",Construction,Job Order Contracting (JOC),404687.19,,
LF0146DSGN Facilities Maintenance Manual - LF0146 - Historic Streetscapes,DO-F165-16001311,Approved,Project Order,CNV64629,DO,120 - Direct Expenses,Mesa,F165,20765,0,0,20765,,,,0,AZ,MA-F165-15000242,FM Design Guidelines Manual,Professional Service,,20765,,
Pipeline Inspection Support Services 2019 - CP0814PH03 - Garney,DO-F165-19006522,Approved,Job Order,CNV390275,DO,104 - Construction,Kansas City,F165,230950.61,0,0,230950.61,,02/07/2019 00:00:00,75,0,MO,MA-F165-18000007R1,"Pipeline Inspection Support Services Phase 3, Pipeline Inspection Support Services Phase 3 - Funding Only",Construction,Job Order Contracting (JOC),230950.61,,
Transportation Job Order Contract Master RENEWAL2: Talis JOC-T18,MA-F165-19003186R2,Approved,Job Order Master,CNV570044,MA,104 - Construction,Mesa,F165,10000000,5379794.81,0,4620205.19,05/23/2021 00:00:00,05/23/2021 00:00:00,365,366,AZ,,,Construction,Job Order Contracting (JOC),0,,
CP0571 Elliot Road Tech Corridor Kreuzer Consulting Group Design Contract,CT-F165-17000119,Approved,Design Professional Services Contract,CNV109096,CT,102 - Design,Seal Beach,F165,769377,0,0,769377,02/27/2017 00:00:00,02/27/2017 00:00:00,255,256,CA,,Elliot Rd Improvements-Bond - Funding Only,Professional Service,NA,0,,
"CP0077CAP 4-Inch PE Gas Line Ext: Power Rd, Indigo to McKellips Arizona Pipeline Company DBB",CT-F165-19000060,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV85146,CT,104 - Construction,Hesperia,F165,388463.75,0,0,388463.75,09/17/2018 00:00:00,08/15/2018 00:00:00,90,91,CA,,"Power Road and Brown Road Cross-Tie, Power Road and Brown Road Cross-Tie Funding Only",Construction,Design Bid Build (DBB),0,,
C10439DSN Falcon Field Airport (FFZ) Realignment of Taxiways A and C  Faa 3-04-0023-024-2014 Dibble,CT-F165-15000035,Approved,Design Professional Services Contract,CNV241687,CT,102 - Design,Phoenix,F165,406421,0,0,406421,01/14/2016 00:00:00,,180,0,AZ,,Taxiway A and C Reconfiguration - Design,Professional Service,,0,,
CP0913 Northeast Public Safety Facility Pre-Construction Services CORE Construction,CT-F165-22000035,Approved,CMAR Pre-Construction Services Contract,VS0000002305,CT,102 - Design,Phoenix,F165,197746,0,0,197746,08/05/2021 00:00:00,08/05/2021 00:00:00,260,261,AZ,,"Northeast Public Safety Facility, Northeast Public Safety Facility - FUNDING ONLY",Construction,Construction Manager at Risk (CMAR),0,,
CP04680001 Commercial Water Meter Assembly Rehabilitation  Sunrise Engineering,DO-F165-16005118,Approved,Project Order,CNV23329,DO,102 - Design,Phoenix,F165,278565,0,0,278565,,,0,0,AZ,MA-F165-15000144R1,"Commercial WMA Rehabilitation - Phase 11A, Water Meter Vault Rehab 15-19 - FUNDING ONLY",Professional Service,,278562.25,,
CP04810090 Morning Sun Farms Unit 4 Gas Line Bore BF,DO-F165-18004919,Approved,Job Order,CNV668524,DO,104 - Construction,Phoenix,F165,12895.97,0,0,12895.97,01/22/2018 00:00:00,01/09/2018 00:00:00,30,31,AZ,MA-F165-16000376R1,"Morning Sun Farms Unit 4 Gas Line Bore, Morning Sun Farms Unit 4 Gas Line Bore-Funding only",Construction,Job Order Contracting (JOC),0,,
CP02791STS 1st Avenue Right of Way Improvements Haydon Preconstruction Services Contract,CT-F165-20000052,Approved,CMAR Pre-Construction Services Contract,CNV527408,CT,102 - Design,Phoenix,F165,132728,0,0,132728,08/15/2019 00:00:00,08/15/2019 00:00:00,160,161,AZ,,"1st Avenue Improvements Gas, 1st Avenue Improvements Streets, 1st Avenue Improvements Water, 1st Avenue Improvements-Electric, 1st Avenue Improvements-Wastewater, 1st Avenue Streetscape Improvements",Construction,Construction Manager at Risk (CMAR),0,,
CP0700 Arterial Roadway Improvement Plans Southern Ave (Greenfield to Higley Rds) /Nesbitt,CT-F165-19001208,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV462756,CT,104 - Construction,Tempe,F165,6036776.18,0,0,6036776.18,03/03/2020 00:00:00,04/29/2019 00:00:00,210,354,AZ,,"Southern to Greenfield Gas Portion-funding only, Southern-Greenfield to Higley Arterial Roadway Improvements, Southern-Greenfield to Higley Arterial Roadway Improvements FUNDING ONLY",Construction,Design Bid Build (DBB),0,,
CP0956SR06 Central Mesa Sewer Interceptor PEC Project Order,DO-F165-21006353,Approved,Project Order,CNV578495,DO,102 - Design,Phoenix,F165,407646.5,0,0,407646.5,03/10/2021 00:00:00,03/10/2021 00:00:00,0,0,AZ,MA-F165-21000075,"Central Mesa Interceptor (CMI) Condition Assessment and Rehabilitation, Central Mesa Interceptor (CMI) Condition Assessment and Rehabilitation - FUNDING ONLY",Professional Service,NA,407646.5,,
LF0033UNIV Hot in Place Recycle and ADA Improvements on University Dr,DO-F165-15010529,Approved,Job Order,CNV570044,DO,120 - Direct Expenses,Tempe,F165,876316.37,0,0,876316.37,,,,0,AZ,MA-F165-13000770Y3,Hot in Place Recycle and ADA Improvements on University Dr,Construction,Job Order Contracting (JOC),876316.37,,
C060008CAP Dob Rd Pedestrain & Bicycle Rte Imprv (Brdwy to Main St),CT-F165-14000102,Closed,Construction Services Contract for Design-Bid-Build Projects,CNV570044,CT,104 - Construction,Tempe,F165,1256893.91,0,0,1256893.91,03/23/2015 00:00:00,,203,0,AZ,,Dob Rd Pedestrain &amp; Bicycle Rte Imprv (Brdwy to Main St),Construction,Design Bid Build (DBB),0,,
CP0584 Convention Center Pedestrian Walkway Light Replacement JOC: B&F,DO-F165-18000318,Approved,Job Order,CNV668524,DO,104 - Construction,Phoenix,F165,147758.73,0,0,147758.73,,07/24/2017 00:00:00,120,0,AZ,MA-F165-16000376R1,Convention Center Walkway Lighting Repair-Replace,Construction,Job Order Contracting (JOC),147758.73,,
14000189,MA-F165-14000189,Approved,Design Professional Master Contract,CNV668257,MA,,Mesa,F165,1000000,0,0,1000000,10/01/2012 00:00:00,06/10/2014 00:00:00,,0,AZ,,,Professional Service,,1000000,,
CP0559PKB Gene Autry Park Improvements - Park Bonds,DO-F165-16000077,Approved,Job Order,MAR222550210,DO,104 - Construction,Tempe,F165,114316.17,0,0,114316.17,07/09/2015 00:00:00,07/07/2015 00:00:00,60,61,AZ,MA-F165-14000392R1,"Gene Autry Park Improvements, Gene Autry Park Improvements PKRR- Funding Only, Gene Autry Pk Impv-Capital General Fund, Gene Autry Pk Impv-Park Bonds",Construction,Job Order Contracting (JOC),114316.17,,
CP0896PH02 Central Mesa Reuse Pipeline Phase 2 - Kimley Horn Design Contract,CT-F165-22000005,Approved,Design Professional Services Contract,CNV445118,CT,102 - Design,Denver,F165,1644764,0,0,1644764,07/06/2021 00:00:00,07/06/2021 00:00:00,540,541,CO,,"""SO"" Central Mesa Reuse Pipeline, 36 Inch Reclaimed Water Line - FUNDING ONLY, Central Mesa Reuse Pipeline:  Phase 2 Southern Pipeline, Central Mesa Reuse Pipeline:  Phase 2 Southern Pipeline - FUNDING ONLY",Professional Service,NA,0,,
CP0880P2 Studios at Mesa City Center Phase 2 - Gensler Design Contract,CT-F165-22000072,Approved,Design Professional Services Contract,VC0000015249,CT,102 - Design,Los Angeles,F165,168470,0,0,168470,12/21/2021 00:00:00,12/21/2021 00:00:00,650,651,CA,,"The Studios at Mesa City Center, The Studios at Mesa City Center Phase 2 - FUNDING ONLY",Professional Service,NA,0,,
LF0033-I06B Street Overlays I06B - - Talis,DO-F165-15010076,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,907706.96,0,0,907706.96,07/06/2015 00:00:00,,120,0,AZ,MA-F165-13000770Y3,Residential Street Overlay I06B,Construction,Job Order Contracting (JOC),915773.1,,
14000082,MA-F165-14000082,Approved,Design Professional Master Contract,VC0000002120,MA,,Chandler,F165,1000000,0,0,1000000,08/13/2012 00:00:00,06/10/2014 00:00:00,,0,AZ,,,Professional Service,,1000000,,
14000036,MA-F165-14000036,Approved,Design Professional Master Contract,CNV317616,MA,,Tempe,F165,1000000,0,0,1000000,12/22/2012 00:00:00,06/10/2014 00:00:00,,0,AZ,,,Professional Service,,1000000,,
CP0586UNVR University and Grand Traffic Signal Reconstruction Talis Job Order,DO-F165-18002921,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,130823.56,0,0,130823.56,10/20/2017 00:00:00,10/17/2017 00:00:00,75,76,AZ,MA-F165-16000375R1,"Traffic Signal Reconstruction 1 (University &amp; Grand), University Traffic Signal Funding Only",Construction,Job Order Contracting (JOC),0,,
CP0381FLTR SEWRP Filter and Tank Line Rehabilitation Felix Construction,DO-F165-17003174,Approved,Job Order,CNV159034,DO,104 - Construction,Coolidge,F165,141657.33,0,0,141657.33,,10/31/2016 00:00:00,115,0,AZ,MA-F165-14000500R2,SEWRP Filter Replacement,Construction,Job Order Contracting (JOC),141657.33,,
CP0821WR02 Gilbert Road Water Main Abandonment - Garney Companies,DO-F165-21002465,Approved,Job Order,CNV390275,DO,104 - Construction,Kansas City,F165,242533.5,0,0,242533.5,04/19/2021 00:00:00,10/14/2020 00:00:00,120,121,MO,MA-F165-19003238R1,"Gilbert Road Water Main Abandonment Phase 2, Gilbert Road Water Rehab WR02 - FUNDING ONLY",Construction,Job Order Contracting (JOC),242533.51,,
Master On-Call RENEWAL: Transportation - Jacobs Engineering,MA-F165-15000194R1,Closed,Design Professional Master Contract,CNV42064,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,10/16/2015 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
CP0956SR09 Relief Sewers on Longmore - Garney Job Order,DO-F165-22001337,Approved,Job Order,CNV390275,DO,104 - Construction,North Kansas City,F165,835968.64,0,0,835968.64,11/29/2021 00:00:00,08/26/2021 00:00:00,180,181,MO,MA-F165-19003238R2,"Relief Sewers on Longmore, W Emerald Ave to W Southern Ave - SR09, Sewer Line Rehab SR09 - FUNDING ONLY",Construction,Job Order Contracting (JOC),835968.64,,
Sunrise Vista Gas Line Replacements for Lots 191 192 195 196 197 235 236 237 238 CP04810005 B&F Cont,DO-F165-15008847,Closed,Job Order,CNV668524,DO,104 - Construction,Phoenix,F165,20008.27,0,0,20008.27,,,,0,AZ,MA-F165-14000391R1,"Sunrise Vista Gas Line Replacements for Lots 191, 192, 195, 196, 197, 235, 236, 237, 238",Construction,Job Order Contracting (JOC),20008.27,,
Master RENEW On-Call 2018: Water & Wastewater Plant Design - Hazen & Sawyer,MA-F165-19000094R1,Approved,Design Professional Master Contract,VS0000004871,MA,102 - Design,New York,F165,1000000,0,0,1000000,10/04/2019 00:00:00,10/04/2019 00:00:00,0,0,NY,,,Professional Service,NA,0,,
CP0867 Eastern Canal Shared Use Path - Lindsay Road to Brown Road - Sunrise Engineering,DO-F165-19001962,Approved,Project Order,CNV417408,DO,102 - Design,Phoenix,F165,182118,0,0,182118,09/10/2018 00:00:00,09/10/2018 00:00:00,390,391,AZ,MA-F165-17000123R1,Eastern Canal Shared Use Path - Lindsay to Brown &amp; McKellips Roads,Professional Service,NA,0,,
OT0132 Building 1011 Demo - Integrity Builders,DO-F165-22002260,Approved,Job Order,CNV133205,DO,104 - Construction,Mesa,F165,35078.76,0,0,35078.76,11/22/2021 00:00:00,10/19/2021 00:00:00,45,46,AZ,MA-F165-21000135R1,"Building 1011 Demolition – Former Williams AFB, Building 1011 Demolition – Former Williams AFB - FUNDING ONLY",Construction,Job Order Contracting (JOC),0,,
Master On-Call 2018: Water & Wastewater Pipeline Design - Hazen & Sawyer,MA-F165-19000082,Approved,Design Professional Master Contract,VS0000004871,MA,102 - Design,New York,F165,1000000,0,0,1000000,09/27/2018 00:00:00,,0,0,NY,,,Professional Service,NA,0,,
Master On-Call Electrical Engineering 2020 - Kimley-Horn,MA-F165-21000145,Approved,Design Professional Master Contract,CNV445118,MA,,Denver,F165,1000000,0,0,1000000,,11/24/2020 00:00:00,0,0,CO,,,Professional Service,NA,0,,
14000088,MA-F165-14000088,Approved,Design Professional Master Contract,VC0000013673,MA,,Phoenix,F165,1000000,0,0,1000000,11/13/2012 00:00:00,06/10/2014 00:00:00,,0,AZ,,,Professional Service,,1000000,,
CP0783 Dinosaur Facade at AZMNH Dimensional Innovations,CT-F165-18000032,Approved,Design Professional Services Contract,VS0000010769,CT,102 - Design,Overland Park,F165,242213.14,0,0,242213.14,08/21/2017 00:00:00,08/21/2017 00:00:00,0,0,KS,,"AZMNH Dinosaur Facade, Dinosaur Facade",Professional Service,NA,0,,
"CP0695 POLICE EVIDENCE FACILITY TMCx Solutions, LLC",CT-F165-23000035,Estimate,Design Professional Services Contract,VS0000012944,CT,102 - Design,Las Vegas,F165,42875,0,0,42875,07/11/2022 00:00:00,07/11/2022 00:00:00,550,551,NV,,"Police Evidence Facility, Police Evidence Facility - FUNDING ONLY",Professional Service,NA,0,,
CP0300EPP Emerald Park Playground Upgrades Valley Rain Const.,DO-F165-15001221,Approved,Job Order,MAR222550210,DO,104 - Construction,Tempe,F165,230323.06,0,0,230323.06,08/21/2014 00:00:00,,56,0,AZ,MA-F165-14000392R1,Emerald Park Playground,Construction,Job Order Contracting (JOC),230323.06,,
Job Order Master Agreement B&F Contracting,MA-F165-14000391,Closed,Job Order Master,CNV668524,MA,,Phoenix,F165,0,0,0,0,09/13/2013 00:00:00,09/13/2013 00:00:00,,0,AZ,,,Construction,Job Order Contracting (JOC),15000000,,
CP0534-0084 Temple and Grid Redevelopment District Vanderweil Engineers Project Order,DO-F165-19006242,Approved,Project Order,VS0000004891,DO,102 - Design,Boston,F165,116940,0,0,116940,,01/29/2019 00:00:00,0,0,MA,MA-F165-19000175,"Temple and Grid Redevelopment District - FUNDING ONLY, Temple Redevelopment District",Professional Service,NA,116940,,
CP0279SWW First Avenue ROW Improvements - Haydon CMAR GMP 1,CT-F165-20000062,Approved,CMAR Construction Services Contract,CNV527408,CT,104 - Construction,Phoenix,F165,1018244.01,0,0,1018244.01,10/07/2019 00:00:00,09/25/2019 00:00:00,90,113,AZ,,"1st Avenue Improvements-Wastewater, 1st Avenue Streetscape Improvements",Construction,Construction Manager at Risk (CMAR),0,,
CP0829PS07 NW Fire Pump Station Valve Replacements Archer Western Construction Job Order,DO-F165-21007451,Approved,Job Order,CNV41076,DO,104 - Construction,Phoenix,F165,58281,0,0,58281,05/01/2021 00:00:00,04/22/2021 00:00:00,60,61,AZ,MA-F165-21000036,"NW Fire Pump Station Repairs, Pump Station Replacement Program PS07 - FUNDING ONLY",Construction,Job Order Contracting (JOC),58281,,
CP0903COL Dobson Library Column Evaluation - Gervasio & Associates,CT-F165-22000100,Approved,Design Professional Services Contract,CNV235725,CT,102 - Design,Phoenix,F165,8400,0,0,8400,04/11/2022 00:00:00,04/11/2022 00:00:00,90,91,AZ,,"Library Improvements – Column Repairs, Library Improvements – Column Repairs - FUNDING ONLY",Professional Service,NA,0,,
Test Contract K01,K01,Estimate,Consultant Standard Terms Contract,ALL STAR SPORTS LLC,MA,,Acworth,F165,0,0,0,0,,,0,0,GA,,0531 Test 111,Professional Service,NA,0,,
Master On-Call 2016 RENEWAL: Electrical Engineering UTILITY Design - M3 Eng,MA-F165-17000165R1,Approved,Design Professional Master Contract,VS0000005431,MA,102 - Design,Tucson,F165,1000000,15827,0,984173,11/14/2017 00:00:00,,0,0,AZ,,,Professional Service,NA,0,,
JOC-SPL19 Job Order Master Agreement Genesis Landscaping Solutions LLC,MA-F165-20000012,Approved,Job Order Master,VC0000025388,MA,104 - Construction,Mesa,F165,500000,81673.52,0,418326.48,07/11/2019 00:00:00,07/11/2019 00:00:00,365,366,AZ,,,Construction,Job Order Contracting (JOC),0,,
CP0067 GWRP Overflow Study - Carollo Engineers,CT-F165-22000095,Approved,Design Professional Services Contract,CNV133507,CT,102 - Design,Salt Lake City,F165,44230,0,0,44230,03/03/2022 00:00:00,03/03/2022 00:00:00,90,91,UT,,"Greenfield Wastewater Reclamation Plant Expansion, GWRP Expansion Phase 3",Professional Service,NA,0,,
CP0630GRIT SEWRP Grit Chamber Garney Job Order,DO-F165-19001450,Approved,Job Order,CNV390275,DO,104 - Construction,Kansas City,F165,213020.02,0,0,213020.02,,08/30/2018 00:00:00,220,0,MO,MA-F165-18000007R1,"SEWRP Misc Plant Improvements, SEWRP Misc Plant Improvements - Funding Only",Construction,Job Order Contracting (JOC),213020.02,,
"Arterial Reconstruction Project P3, University Dr, 22nd Pl - Val Vista CP0439P3A Combs Construction",CT-F165-17000057,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV52957,CT,104 - Construction,Glendale,F165,1792930.12,0,0,1792930.12,08/08/2016 00:00:00,08/01/2016 00:00:00,75,76,AZ,,"Aterial Reconstruct Southern Ave (58th Plc/Power Rd) Asphalt Only Master, CAP Aterial Reconstruct Southern Ave (58th Place - Power Rd) Asphalt Only FUNDING ONLY, WTR Aterial Reconstruct Southern Ave (58th Place - Power Rd) Asphalt Only FUNDING ONLY",Construction,Design Bid Build (DBB),0,07/11/2016 00:00:00,
